id,nome,corso,academic_profile,aspiration_values,lifestyle_preferences,annual_cost,city,coordinates,min_gpa,prestige_rank,duration_years,employment_rate,english_courses,dorms_available,admission_test_required,extracurricular_clubs
91,Università Telematica Internazionale UNINETTUNO,Ingegneria Gestionale,"Ingegneria gestionale online, management tecnico",Formazione continua per lavoratori in ambito tecnico,"Didattica online multilingue, forte componente video-lezioni",3200,Roma,"{""lat"": 41.9028, ""lon"": 12.4964}",6.0,95,3,70,True,False,False,False
92,Università Telematica San Raffaele Roma,Scienze Motorie,"Scienze motorie online, sport, fitness","Istruttori, preparatori atletici, manager dello sport","Studio flessibile, parte pratica da svolgere in strutture convenzionate",3200,Roma,"{""lat"": 41.9028, ""lon"": 12.4964}",6.0,95,3,72,False,False,False,False
93,Università Telematica Mercatorum,Scienze del Turismo,"Turismo, marketing territoriale, hospitality management","Figure manageriali nel turismo, valorizzazione dei territori","Formazione online, forte legame con il sistema camerale",3000,Roma,"{""lat"": 41.9028, ""lon"": 12.4964}",6.0,95,3,70,False,False,False,False
94,LUISS Guido Carli,Data Science e Management,"Data science, business analytics, management","Consulenza, big tech, funzioni dati in grandi aziende","Ambiente elitario, forte networking, molti project work con aziende",12000,Roma,"{""lat"": 41.928, ""lon"": 12.501}",9.0,6,3,98,True,True,True,False
95,Università Cattolica del Sacro Cuore,Data Analytics per l'Economia,"Economia, statistica, data analytics","Controllo di gestione, consulenza, ruoli quantitativi in azienda","Campus strutturato, ambiente professionalizzante, forte rete alumni",6500,Milano,"{""lat"": 45.4642, ""lon"": 9.19}",8.5,25,3,95,True,True,True,True
96,Università Vita-Salute San Raffaele,Medicina e Chirurgia,"Medicina, Chirurgia, Neuroscienze | Ateneo privato d'eccellenza legato al San Raffaele","Carriera medica in contesti ospedalieri di alto livello, ricerca clinica avanzata","Ambiente molto selettivo e competitivo, forte integrazione con l'ospedale, ritmi intensi",14000,Milano,"{""lat"": 45.506, ""lon"": 9.238}",9.0,4,6,99,True,True,True,True
97,Università Vita-Salute San Raffaele,Psicologia,"Psicologia, Neuroscienze, Scienze Cognitive","Ricerca in neuroscienze, psicologia clinica, neuropsicologia","Ambiente accademico molto strutturato, forte impronta scientifica, campus ospedaliero",10500,Milano,"{""lat"": 45.506, ""lon"": 9.238}",8.5,8,5,95,True,True,True,True
98,Humanitas University,Medicine and Surgery (English track),"Medicina, Chirurgia, Research Hospital | Corso interamente in inglese","Carriera internazionale in medicina, ambienti ospedalieri ad alta tecnologia","Campus moderno a sud di Milano, comunità internazionale, forte focus sullo studio",12000,Rozzano,"{""lat"": 45.382, ""lon"": 9.16}",9.0,7,6,99,True,True,True,True
99,Università Carlo Cattaneo LIUC,Ingegneria Gestionale,"Ingegneria Gestionale, Industria 4.0, Management","Carriera in aziende manifatturiere, consulenza, supply chain","Campus privato, classi non enormi, forte contatto con le imprese del Nord",7500,Castellanza,"{""lat"": 45.613, ""lon"": 8.897}",8.0,30,3,93,True,True,True,True
100,Università Carlo Cattaneo LIUC,Economia Aziendale,"Economia Aziendale, Management, Finanza d'impresa","Ruoli manageriali in PMI e grandi aziende, consulenza direzionale","Contesto molto orientato al business, tante attività con imprese e career service forte",7200,Castellanza,"{""lat"": 45.613, ""lon"": 8.897}",7.8,32,3,92,True,True,True,True
101,Università Europea di Roma,Economia e Management,"Economia, Management, Turismo | Ateneo privato cattolico","Carriera in imprese di servizi, turismo, marketing, ruoli manageriali","Campus moderno nella periferia ovest di Roma, classi medio-piccole, attenzione al percorso personale",7500,Roma,"{""lat"": 41.885, ""lon"": 12.388}",7.5,40,3,90,True,False,True,True
102,Università degli Studi Internazionali di Roma (UNINT),Lingue per l'Interpretariato e la Traduzione,"Lingue, Traduzione, Interpretariato, Relazioni Internazionali","Carriera come interprete, traduttore, ruoli linguistici in organizzazioni internazionali","Ateneo privato di dimensioni contenute, forte componente internazionale, molti scambi all'estero",6800,Roma,"{""lat"": 41.8597, ""lon"": 12.4961}",7.5,45,3,88,True,False,True,True
103,Università degli Studi di Scienze Gastronomiche,Scienze e Culture Gastronomiche,"Gastronomia, Cultura del Cibo, Food Management | Ateneo privato creato da Slow Food","Lavorare nel food di qualità, consulenza gastronomica, comunicazione e turismo enogastronomico","Campus molto particolare a Pollenzo, ambiente internazionale, tante esperienze di viaggio sul territorio",9000,Bra (Pollenzo),"{""lat"": 44.694, ""lon"": 7.935}",7.5,35,3,92,True,True,True,True
